# Object,[Fe/H],[Zn/Fe]
SAGA_Scl_000091,-2.25,
SAGA_Scl_000091,-2.27,
SAGA_Scl_000092,-1.9,0.24
SAGA_Scl_000092,-1.88,
SAGA_Scl_000092,-1.9,
SAGA_Scl_000093,-1.65,0.3
SAGA_Scl_000093,-1.63,
SAGA_Scl_000093,-1.65,
SAGA_Scl_000095,-1.41,0.28
SAGA_Scl_000095,-1.39,
SAGA_Scl_000095,-1.41,
SAGA_Scl_000128,-2.99,
SAGA_Scl_000128,-2.28,0.18
SAGA_Scl_000128,-2.86,
SAGA_Scl_000128,-1.39,
SAGA_Scl_000131,-1.39,
SAGA_Scl_000131,-1.39,0.12
SAGA_Scl_000131,-1.42,
SAGA_Scl_000141,-1.53,
SAGA_Scl_000141,-1.51,0.16
SAGA_Scl_000141,-1.72,
SAGA_Scl_000141,-1.51,
SAGA_Scl_000141,-1.43,
SAGA_Scl_000141,-1.71,
SAGA_Scl_000146,-1.21,
SAGA_Scl_000146,-1.3,0.2
SAGA_Scl_000146,-1.37,
SAGA_Scl_000146,-1.17,
SAGA_Scl_000146,-1.35,
SAGA_Scl_000169,-1.08,
SAGA_Scl_000169,-1.29,0.54
SAGA_Scl_000169,-1.14,
SAGA_Scl_000169,-0.89,
SAGA_Scl_000169,-1.12,
SAGA_Scl_000173,-2.55,
SAGA_Scl_000173,-2.67,0.5
SAGA_Scl_000173,-2.59,
SAGA_Scl_000173,-2.53,
SAGA_Scl_000177,-2.13,
SAGA_Scl_000177,-2.17,0.14
SAGA_Scl_000177,-2.3,
SAGA_Scl_000177,-2.17,
SAGA_Scl_000177,-2.28,
SAGA_Scl_000186,-1.9,
SAGA_Scl_000186,-2.04,0.22
SAGA_Scl_000186,-2.01,
SAGA_Scl_000186,-2.04,
SAGA_Scl_000186,-1.89,
SAGA_Scl_000186,-1.99,
SAGA_Scl_000202,-1.05,
SAGA_Scl_000202,-1.27,0.36
SAGA_Scl_000202,-0.93,
SAGA_Scl_000240,-2.24,
SAGA_Scl_000240,-2.32,0.22
SAGA_Scl_000240,-2.29,
SAGA_Scl_000249,-1.31,
SAGA_Scl_000249,-1.37,0.46
SAGA_Scl_000249,-1.43,
SAGA_Scl_000249,-1.16,
SAGA_Scl_000249,-1.41,
SAGA_Scl_000330,-2.11,
SAGA_Scl_000330,-2.41,0.14
SAGA_Scl_000330,-2.11,
SAGA_Scl_000330,-2.08,
SAGA_Scl_000434,-3.48,
SAGA_Scl_000434,-3.31,0.59
SAGA_Scl_000442,-2.38,0
SAGA_Scl_000536,-1.91,0.26
SAGA_Scl_000536,-3.15,
SAGA_UMi_000001,-1.61,
SAGA_UMi_000001,-1.68,-0.16
SAGA_UMi_000001,-1.67,0.04
SAGA_UMi_000001,-1.47,
SAGA_UMi_000001,-1.6,
SAGA_UMi_000002,-2.2,
SAGA_UMi_000002,-1.91,0.54
SAGA_UMi_000002,-2.01,
SAGA_UMi_000002,-2.19,
SAGA_UMi_000003,-2.74,
SAGA_UMi_000003,-2.18,0.07
SAGA_UMi_000003,-2.32,
SAGA_UMi_000003,-2.72,
SAGA_UMi_000004,-2.1,
SAGA_UMi_000004,-2.01,0.03
SAGA_UMi_000004,-1.95,
SAGA_UMi_000004,-1.68,
SAGA_UMi_000005,,
SAGA_UMi_000005,-2.17,0.1
SAGA_UMi_000005,-2.34,
SAGA_UMi_000005,-1.66,
SAGA_UMi_000006,-1.47,
SAGA_UMi_000006,-1.45,-0.22
SAGA_UMi_000006,-1.51,-0.19
SAGA_UMi_000006,-1.34,
SAGA_UMi_000006,-1.55,
SAGA_UMi_000007,-2.65,0.13
SAGA_UMi_000008,-2.47,-0.05
SAGA_UMi_000025,-2.48,0.16
SAGA_UMi_000034,-3.13,0.66
SAGA_UMi_000082,-1.6,-0.38
SAGA_UMi_000098,-1.4,-1
SAGA_UMi_000136,-3.15,0.47
SAGA_UMi_000151,-2.2,-0.08
SAGA_UMi_000220,-2.12,
SAGA_UMi_000220,-1.81,-0.26
SAGA_UMi_000220,-1.92,
SAGA_UMi_000220,-2.09,
SAGA_UMi_000221,-2.13,-0.21
SAGA_UMi_000222,-1.96,-0.17
SAGA_UMi_000223,-2.13,0.11
SAGA_UMi_000225,-2.12,-0.03
