Name,j_phi(kpc s^(-1)),energy_mean(km^2 s^(-2))
2MASS J14543792+0830379,-308.2047321,-186263.0241
2MASS J14590234-0916105,301.2589566,-143844.3425
2MASS J14592981-3852558,777.1678307,-180268.566
2MASS J15002498-0613374,-1745.810619,-149303.0812
2MASS J15042611-2231523,-986.2744336,-165237.6275
2MASS J15062866-1428038,-1254.48763,-171540.6826
BD+30:2611,-1313.961668,-129772.509
2MASS J15075699-0659593,33.61107637,-162717.669
2MASS J15083385-1459166,-428.5799422,-179390.0994
HD 134440,2187.256895,-96059.03818
2MASS J15111672+0025252,832.1336389,-164584.535
HD 135148,302.3781852,-131378.3881
2MASS J15133549-1244339,567.8497181,-188133.3696
BPS CS 30306-132,-1004.55024,-168388.623
2MASS J15155734-1054220,-767.7660346,-164895.1882
2MASS J15204531-1742486,-545.096112,-178990.4024
2MASS J15211026-0607566,717.0449193,-169416.8221
2MASS J15213995-3538094,-2112.5225,-109826.9015
2MASS J15260106-0911388,1464.065451,-143640.0432
2MASS J15271353-2336177,-739.5564047,-177597.5467
2MASS J15293404-3906241,754.6446429,-191143.5516
2MASS J15383085-1804242,430.5909954,-181171.1065
SMSS J155430.57-263904.8,-895.456642,-125751.4417
2MASS J15582962-1224344,-1116.917856,-172785.2428
2MASS J16024498-1521016,-1428.426635,-162902.1555
BD+42:2667,73.34357051,-177518.0654
SMSS J160447.75-293146.7,115.0462151,-194318.4709
2MASS J16095117-0941174,473.5807231,-175033.5811
2MASS J16122832-0848083,-827.7489909,-184654.6649
2MASS J16163560-0401148,-839.226701,-171590.9405
2MASS J16285613-1014576,-1365.241502,-168182.7647
BD+09:3223,-57.28051453,-162419.6363
HD 149414,-717.7699537,-169660.1335
BPS CS 22878-121,800.181612,-150060.9515
SMSS J165023.82-252948.7,-1106.163843,-156067.3502
2MASS J16592172-6827199,1267.236308,-81918.54792
2MASS J17043634-6219457,550.9604528,-181555.3826
2MASS J17093199-6027271,1130.984237,-133296.8954
2MASS J17124284-5211479,-1071.238671,-159561.1276
2MASS J17131974-7113010,-1009.651471,-179758.0079
2MASS J17163340-7009028,-931.9275411,-173095.6019
2MASS J17225742-7123000,1296.118343,-145174.0744
