JINA_ID,Ref,Name,Simbad_Identifier,Fe/H,Mg/Fe
1308,ROE14b,CS22896-110,BPS_CS_22896-0110, -2.85,0.56
1309,ROE14b,CS22896-115,BPS_CS_22896-0115, -2.82,0.44
1310,ROE14b,CS22896-136,BPS_CS_22896-0136, -2.41,0.34
1314,ROE14b,CS22898-043,BPS_CS_22898-0043, -2.83,0.38
1315,ROE14b,CS22898-047,BPS_CS_22898-0047, -3.51,0.55
1318,ROE14b,CS22940-077,BPS_CS_22940-0077, -3.1,0.58
1320,ROE14b,CS22940-121,BPS_CS_22940-0121, -3.14,0.58
1323,ROE14b,CS22941-027,BPS_CS_22941-0027, -2.71,0.3
1326,ROE14b,CS22943-059,BPS_CS_22943-0059, -2.95,0.43
1327,ROE14b,CS22943-132,BPS_CS_22943-0132, -2.63,0.53
1330,ROE14b,CS22943-201,BPS_CS_22943-0201, -2.68,0.62
1331,ROE14b,CS22944-014,BPS_CS_22944-0014, -2.64,0.49
1332,ROE14b,CS22944-061,BPS_CS_22944-0061, -2.96,0.44
1333,ROE14b,CS22945-017,BPS_CS_22945-0017, -2.89,0.42
1335,ROE14b,CS22945-031,BPS_CS_22945-0031, -3.29,0.6
1337,ROE14b,CS22945-056,BPS_CS_22945-0056, -2.82,0.49
1338,ROE14b,CS22945-058,BPS_CS_22945-0058, -2.98,0.4
1340,ROE14b,CS22945-063,BPS_CS_22945-0063, -2.84,0.28
1344,ROE14b,CS22947-187,BPS_CS_22947-0187, -2.58,0.56
1350,ROE14b,CS22948-093,BPS_CS_22948-0093, -3.32,0.27
1353,ROE14b,CS22949-030,BPS_CS_22949-0030, -3.01,0.52
1354,ROE14b,CS22951-005,BPS_CS_22951-0005, -2.74,0.34
1355,ROE14b,CS22951-059,BPS_CS_22951-0059, -2.84,0.48
1356,ROE14b,CS22894-023,BPS_CS_22952-0011, -3.14,0.44
1357,ROE14b,CS22954-004,BPS_CS_22954-0004, -3.0,0.44
1361,ROE14b,CS22955-174,BPS_CS_22955-0174, -3.1,0.61
1362,ROE14b,CS22956-015,BPS_CS_22956-0015, -2.81,0.41
1363,ROE14b,CS22956-021,BPS_CS_22956-0021, -2.73,0.38
1365,ROE14b,CS22956-062,BPS_CS_22956-0062, -2.75,0.48
1366,ROE14b,CS22956-081,BPS_CS_22956-0081, -2.71,0.38
1367,ROE14b,CS22956-102,BPS_CS_22956-0102, -2.39,0.29
1368,ROE14b,CS22956-106,BPS_CS_22956-0106, -2.69,0.36
1369,ROE14b,CS22956-110,BPS_CS_22956-0110, -3.15,0.29
1370,ROE14b,CS22956-114,BPS_CS_22956-0114, -3.19,0.49
1371,ROE14b,CS22957-019,BPS_CS_22957-0019, -2.43,0.29
1372,ROE14b,CS22957-024,BPS_CS_22957-0024, -2.91,0.37
1373,ROE14b,CS22957-036,BPS_CS_22957-0036, -2.28,0.35
1374,ROE14b,CS22958-037,BPS_CS_22958-0037, -2.51,0.34
1375,ROE14b,CS22958-041,BPS_CS_22958-0041, -3.1,0.41
1376,ROE14b,CS22958-052,BPS_CS_22958-0052, -2.62,0.32
1378,ROE14b,CS22958-065,BPS_CS_22958-0065, -2.29,0.39
1379,ROE14b,CS22958-074,BPS_CS_22958-0074, -2.67,0.43
1380,ROE14b,CS22959-074,BPS_CS_22959-0074, -2.6,0.2
1381,ROE14b,CS22959-139,BPS_CS_22959-0139, -2.67,0.25
1383,ROE14b,CS22960-010,BPS_CS_22960-0010, -3.02,0.36
1384,ROE14b,CS22960-029,BPS_CS_22960-0029, -3.05,0.43
1386,ROE14b,CS22964-115,BPS_CS_22964-0115, -2.82,0.42
1387,ROE14b,CS22964-176,BPS_CS_22964-0176, -2.56,0.32
1388,ROE14b,CS22964-183,BPS_CS_22964-0183, -3.01, -0.06
1390,ROE14b,CS22964-214,BPS_CS_22964-0214, -2.95,0.4
1396,ROE14b,CS22965-054,BPS_CS_22965-0054, -3.17,0.25
1400,ROE14b,CS22968-001,BPS_CS_22968-0001, -3.12,0.42
1401,ROE14b,CS22968-026,BPS_CS_22968-0026, -2.57,0.37
1402,ROE14b,CS22968-029,BPS_CS_22968-0029, -3.1,0.38
1403,ROE14b,CS29493-023,BPS_CS_29493-0023, -2.89,0.37
1404,ROE14b,CS29493-050,BPS_CS_29493-0050, -2.92,0.45
1405,ROE14b,CS29493-062,BPS_CS_29493-0062, -2.76,0.42
1406,ROE14b,CS29493-094,BPS_CS_29493-0094, -2.66,0.35
1407,ROE14b,CS29495-005,BPS_CS_29495-0005, -2.44,0.42
1409,ROE14b,CS29499-003,BPS_CS_29499-0003, -2.51,0.26
1410,ROE14b,CS29499-058,BPS_CS_29499-0058, -2.81,0.34
1411,ROE14b,CS29501-032,BPS_CS_29501-0032, -2.92,0.37
1413,ROE14b,CS22937-072,BPS_CS_29501-0051, -2.72,0.5
1414,ROE14b,CS29504-004,BPS_CS_29504-0004, -2.38,0.42
1419,ROE14b,CS29506-007,BPS_CS_29506-0007, -3.24,0.44
1425,ROE14b,CS29506-090,BPS_CS_29506-0090, -3.21,0.48
1428,ROE14b,CS22886-003,BPS_CS_29512-0030, -2.92,0.54
1432,ROE14b,CS29513-003,BPS_CS_29513-0003, -2.47,0.45
1433,ROE14b,CS29513-014,BPS_CS_29513-0014, -2.32,0.48
1434,ROE14b,CS29513-015,BPS_CS_29513-0015, -2.63,0.24
1438,ROE14b,CS29517-018,BPS_CS_29517-0018, -2.78,0.49
1439,ROE14b,CS29517-042,BPS_CS_29517-0042, -2.53,0.25
1444,ROE14b,CS22890-064,BPS_CS_30306-0117, -3.12,0.42
1446,ROE14b,CS30312-044,BPS_CS_30312-0044, -3.22,0.54
1451,ROE14b,CS30339-073,BPS_CS_30339-0073, -3.93,0.45
1453,ROE14b,CS30492-016,BPS_CS_30492-0016, -3.3,0.68
1454,ROE14b,CS22888-014,BPS_CS_30493-0023, -2.73,0.43
1455,ROE14b,CS30493-071,BPS_CS_30493-0071, -2.82,0.45
1478,ROE14b,HE0336-2412,CD-24_1782, -3.05,0.53
1482,ROE14b,CS29497-030,CD-24_266, -2.52,0.35
1490,ROE14b,HE0056-3022,CD-30_298, -3.77,0.38
1492,ROE14b,CS29509-027,CD-31_306, -2.42,0.43
