# Object,[Fe/H],[C/Fe]
SAGA_For_000927,-0.86,
SAGA_For_000927,-1.08,
SAGA_For_000933,-1.14,-0.56
SAGA_For_000933,-0.89,
SAGA_For_000933,-1.13,
SAGA_For_000955,-0.83,-0.75
SAGA_For_000955,-0.55,
SAGA_For_000978,-0.7,0.4
SAGA_For_000978,-0.4,
SAGA_For_001007,-1.09,-0.63
SAGA_For_001007,-0.84,
SAGA_For_001007,-1.09,
SAGA_For_001040,-0.7,-0.88
SAGA_For_001040,,
SAGA_For_001040,-0.38,
SAGA_For_001040,-0.7,
SAGA_For_001043,-1.71,-1.03
SAGA_For_001043,-1.44,
SAGA_For_001043,-1.53,
SAGA_For_001043,-1.7,
SAGA_For_001045,-0.76,-0.59
SAGA_For_001045,-0.47,
SAGA_For_001050,-1.03,0.38
SAGA_For_001050,-0.87,
SAGA_For_001050,-0.8,
SAGA_For_001050,-1.03,
SAGA_For_001053,-1.14,-0.78
SAGA_For_001053,-0.87,
SAGA_For_001053,-1.13,
SAGA_For_001055,-2.21,-0.56
SAGA_For_001055,-2.04,
SAGA_For_001068,-1.13,-0.9
SAGA_For_001068,-0.88,
SAGA_For_001068,-1.12,
SAGA_For_001074,-1.66,-0.75
SAGA_For_001074,-1.45,
SAGA_For_001074,-1.65,
SAGA_For_001078,-1.05,0.3
SAGA_For_001078,-0.78,
SAGA_For_001078,-1.04,
SAGA_For_001091,-1.09,-0.74
SAGA_For_001091,,
SAGA_For_001091,-0.9,
SAGA_For_001091,-1.09,
SAGA_For_001099,-1.19,-0.68
SAGA_For_001099,-0.98,
SAGA_For_001115,-1.06,-0.69
SAGA_For_001115,-0.83,
SAGA_For_001115,-1.05,
SAGA_For_001122,-1.17,-0.97
SAGA_For_001122,-0.93,
SAGA_For_001142,-0.82,-0.95
SAGA_For_001142,-0.73,
SAGA_For_001142,-0.56,
SAGA_For_001142,-0.81,
SAGA_For_001173,-0.9,-0.9
SAGA_For_001173,-0.76,
SAGA_For_001173,-0.62,
SAGA_For_001173,-0.89,
SAGA_For_001184,-1.2,-0.53
SAGA_For_001184,-0.98,
SAGA_For_001186,-1.12,-0.56
SAGA_For_001186,-0.83,
SAGA_For_001186,-0.88,
SAGA_For_001218,-1.11,-0.87
SAGA_For_001218,-0.84,
SAGA_For_001227,-1.22,-0.77
SAGA_For_001227,-1.01,
SAGA_For_001259,-0.79,-1.01
SAGA_For_001259,-0.54,
SAGA_For_001280,-1.14,-0.8
SAGA_For_001280,-0.88,
SAGA_For_001280,-1.14,
SAGA_For_001294,-0.96,0.14
SAGA_For_001294,-0.71,
SAGA_For_001301,-1.02,-0.78
SAGA_For_001301,-0.79,
SAGA_For_001316,-0.83,-0.61
SAGA_For_001316,-0.6,
SAGA_For_001317,-1.07,-0.38
SAGA_For_001317,-0.88,
SAGA_For_001322,-1.24,-0.92
SAGA_For_001322,-0.99,
SAGA_For_001331,-0.96,0.02
SAGA_For_001331,-0.74,
SAGA_For_001341,-0.92,-0.55
SAGA_For_001341,-0.71,
SAGA_For_001341,-0.91,
SAGA_Scl_000001,-1.98,
SAGA_Scl_000001,-1.95,
SAGA_Scl_000001,-1.61,
SAGA_Scl_000001,-2.14,-0.13
SAGA_Scl_000001,-1.61,
SAGA_Scl_000001,-2.01,
SAGA_Scl_000001,-2.13,
SAGA_Scl_000006,-2.1,
SAGA_Scl_000006,-2.03,
SAGA_Scl_000006,-2.18,
SAGA_Scl_000006,-2.17,-0.92
SAGA_Scl_000006,-2.16,
SAGA_Scl_000006,-2.18,
SAGA_Scl_000006,-2,
SAGA_Scl_000006,-2.15,
SAGA_Scl_000018,-1.86,
SAGA_Scl_000018,-1.84,
SAGA_Scl_000018,-1.86,
SAGA_Scl_000018,-1.73,-1.06
SAGA_Scl_000019,-1.65,
SAGA_Scl_000019,-1.7,
SAGA_Scl_000019,-1.72,-0.86
SAGA_Scl_000019,-1.68,
SAGA_Scl_000019,-1.7,
SAGA_Scl_000019,-1.57,
SAGA_Scl_000019,-1.7,
SAGA_Scl_000020,-1.01,
SAGA_Scl_000020,-1.07,
SAGA_Scl_000020,-1.11,-0.67
SAGA_Scl_000020,-1.05,
SAGA_Scl_000020,-1.07,
SAGA_Scl_000020,-0.92,
