# Object,[Mg/Fe],[Na/Fe]
SAGA_Scl_000009,-0.07,
SAGA_Scl_000009,,
SAGA_Scl_000009,,
SAGA_Scl_000009,,
SAGA_Scl_000009,-0.59,
SAGA_Scl_000026,,
SAGA_Scl_000026,0.4,
SAGA_Scl_000026,0.4,-0.4
SAGA_Scl_000058,-0.49,-0.5
SAGA_Scl_000058,,
SAGA_Scl_000058,,
SAGA_Scl_000298,,
SAGA_Scl_000298,0.58,0.1
SAGA_Scl_000298,,
SAGA_Scl_000298,,
SAGA_Scl_000434,0.2,-0.15
SAGA_Scl_000434,0.62,-0.2
SAGA_Scl_000435,-0.03,0.02
SAGA_Scl_000435,0.3,-0.03
SAGA_Scl_000435,,
SAGA_Scl_000442,0.52,-0.69
SAGA_Scl_000443,,
SAGA_Scl_000443,0.2,0.66
SAGA_Scl_000444,0.25,-0.09
SAGA_Scl_000444,0.15,-0.06
SAGA_Scl_000445,0.11,-0.23
SAGA_Scl_000445,-0.21,-0.57
SAGA_Scl_000446,-0.17,-0.38
SAGA_Scl_000447,0.43,0.32
SAGA_Scl_000448,0.38,-0.11
SAGA_Scl_000448,0.18,-0.24
SAGA_Scl_000449,0.55,0.38
SAGA_Scl_000450,0.4,0.49
SAGA_Scl_000450,,
SAGA_Scl_000450,,
SAGA_Scl_000451,-0.39,-0.04
SAGA_Scl_000451,,
SAGA_Scl_000452,0.44,0.08
SAGA_Scl_000452,,
SAGA_UMi_000001,,
SAGA_UMi_000001,0.22,0.24
SAGA_UMi_000001,0.37,-0.18
SAGA_UMi_000001,-0.23,
SAGA_UMi_000001,,
SAGA_UMi_000004,,
SAGA_UMi_000004,0.3,-0.28
SAGA_UMi_000004,,
SAGA_UMi_000004,,
SAGA_UMi_000006,,
SAGA_UMi_000006,0,
SAGA_UMi_000006,0.12,-1.02
SAGA_UMi_000006,-0.47,
SAGA_UMi_000006,,
SAGA_UMi_000007,0.29,-0.16
SAGA_UMi_000008,0.41,-0.16
SAGA_UMi_000025,0.41,-0.03
SAGA_UMi_000034,0.42,-0.1
SAGA_UMi_000038,0.35,-0.15
SAGA_UMi_000038,,
SAGA_UMi_000082,0.12,-0.59
SAGA_UMi_000098,-0.35,-1.14
SAGA_UMi_000136,0.27,-0.29
SAGA_UMi_000151,0.33,-0.24
SAGA_UMi_000220,,
SAGA_UMi_000220,0.21,-0.51
SAGA_UMi_000220,0.23,
SAGA_UMi_000220,,
SAGA_UMi_000221,0.4,-0.27
SAGA_UMi_000222,0.29,-0.31
