Name,energy_mean(km^2 s^(-2)),j_phi(kpc s^(-1)),Lz
2MASS J12563137-0834098,-177633.7944,-187.22346,187.22346
2MASS J12571667-4335318,-171567.3461,-803.3483473,803.3483473
HE 1256-0228,-151111.4064,-1069.960393,1069.960393
2MASS J12591462-7049592,-175790.6275,76.48511808,-76.48511808
2MASS J13052137-1137220,-166144.6936,-1182.84063,1182.84063
RAVE J130524.5-393126,-182786.3496,137.2198258,-137.2198258
2MASS J13101305-3342369,-183614.0462,777.5218067,-777.5218067
HE 1311-1412,-121119.3839,-1399.68357,1399.68357
BPS CS 22877-0015,-155677.0477,-1151.33909,1151.33909
HD 115444,-118127.068,1441.046093,-1441.046093
2MASS J13164824-2743351,-162807.6808,388.8537109,-388.8537109
2MASS J13214178-4320055,-147410.3438,-1198.066544,1198.066544
2MASS J13254554-1747547,-116966.045,-1112.445109,1112.445109
2MASS J13261792-0945176,-170942.566,593.1491866,-593.1491866
2MASS J13315746-1929446,-166654.2728,-1521.342162,1521.342162
2MASS J13330890-4654079,-168213.1943,-606.8461656,606.8461656
HD 118055,-186263.0241,-308.2047321,308.2047321
2MASS J13351401-0110524,-143844.3425,301.2589566,-301.2589566
SMSS J133532.32-210632.9,-180268.566,777.1678307,-777.1678307
2MASS J13374885-0826176,-149303.0812,-1745.810619,1745.810619
2MASS J13425404-0717005,-165237.6275,-986.2744336,986.2744336
HD 119516,-171540.6826,-1254.48763,1254.48763
BPS BS 16089-0013,-129772.509,-1313.961668,1313.961668
2MASS J13494713-7423395,-162717.669,33.61107637,-33.61107637
2MASS J13511539-7340363,-179390.0994,-428.5799422,428.5799422
2MASS J13524835+1254216,-96059.03818,2187.256895,-2187.256895
2MASS J14004919+4551581,-164584.535,832.1336389,-832.1336389
2MASS J14032900-5250429,-131378.3881,302.3781852,-302.3781852
2MASS J14043762+0011117,-188133.3696,567.8497181,-567.8497181
HD 122956,-168388.623,-1004.55024,1004.55024
2MASS J14100568-0701443,-164895.1882,-767.7660346,767.7660346
2MASS J14101587-0343553,-178990.4024,-545.096112,545.096112
2MASS J14155955-3219255,-169416.8221,717.0449193,-717.0449193
2MASS J14180866-2842077,-109826.9015,-2112.5225,2112.5225
2MASS J14191395-0844410,-143640.0432,1464.065451,-1464.065451
BD+01:2916,-177597.5467,-739.5564047,739.5564047
2MASS J14232679-2834200,-191143.5516,754.6446429,-754.6446429
2MASS J14234371-4025526,-181171.1065,430.5909954,-430.5909954
BD+08:2856,-125751.4417,-895.456642,895.456642
BPS CS 22883-0037,-172785.2428,-1116.917856,1116.917856
2MASS J14301385-2317388,-162902.1555,-1428.426635,1428.426635
BD+18:2890,-177518.0654,73.34357051,-73.34357051
HE 1429-0347,-194318.4709,115.0462151,-115.0462151
2MASS J14325334-4125494,-175033.5811,473.5807231,-473.5807231
HE 1430+0053,-184654.6649,-827.7489909,827.7489909
2MASS J14354680-1124122,-171590.9405,-839.226701,839.226701
BPS BS 16083-0172,-168182.7647,-1365.241502,1365.241502
2MASS J14534137+0040467,-162419.6363,-57.28051453,57.28051453
2MASS J14543792+0830379,-169660.1335,-717.7699537,717.7699537
2MASS J14590234-0916105,-150060.9515,800.181612,-800.181612
2MASS J14592981-3852558,-156067.3502,-1106.163843,1106.163843
2MASS J15002498-0613374,-81918.54792,1267.236308,-1267.236308
2MASS J15042611-2231523,-181555.3826,550.9604528,-550.9604528
2MASS J15062866-1428038,-133296.8954,1130.984237,-1130.984237
BD+30:2611,-159561.1276,-1071.238671,1071.238671
2MASS J15075699-0659593,-179758.0079,-1009.651471,1009.651471
2MASS J15083385-1459166,-173095.6019,-931.9275411,931.9275411
HD 134440,-145174.0744,1296.118343,-1296.118343
2MASS J15111672+0025252,-184239.174,-80.24389608,80.24389608
HD 135148,-168232.2351,-932.3895562,932.3895562
2MASS J15133549-1244339,-183132.1389,-763.3701602,763.3701602
BPS CS 30306-0132,-170447.6389,496.303289,-496.303289
2MASS J15155734-1054220,-185604.7551,-560.4964747,560.4964747
RAVE J151558.3-203821,-184045.9292,-661.0206362,661.0206362
2MASS J15204531-1742486,-192297.1987,-99.67906849,99.67906849
2MASS J15211026-0607566,-164865.5674,210.0864505,-210.0864505
2MASS J15213995-3538094,-216393.4577,-385.2892028,385.2892028
2MASS J15260106-0911388,-164723.5565,232.3914615,-232.3914615
2MASS J15271353-2336177,-194293.0484,-330.5357359,330.5357359
2MASS J15293404-3906241,-181313.9924,-252.516677,252.516677
2MASS J15383085-1804242,-214292.8757,-251.4487756,251.4487756
SMSS J155430.57-263904.8,-192345.3606,-617.1224846,617.1224846
2MASS J15582962-1224344,-172297.6527,-1122.241956,1122.241956
2MASS J16024498-1521016,-206395.2736,-390.4054175,390.4054175
BD+42:2667,-176487.4333,-1154.421602,1154.421602
SMSS J160447.75-293146.7,-171194.2272,-1239.238435,1239.238435
2MASS J16095117-0941174,-168613.1239,229.3183635,-229.3183635
2MASS J16122832-0848083,-130042.3889,-1307.762608,1307.762608
2MASS J16163560-0401148,-170079.0426,-136.3474993,136.3474993
2MASS J16285613-1014576,-197810.4349,126.2938555,-126.2938555
BD+09:3223,-174575.3461,-535.6027993,535.6027993
HD 149414,-207253.7799,43.28879011,-43.28879011
BPS CS 22878-0121,-153767.5463,462.5059479,-462.5059479
SMSS J165023.82-252948.7,-194049.0005,-524.4424403,524.4424403
RAVE J165300.5-005507,-135541.2315,110.0657315,-110.0657315
2MASS J16592172-6827199,-177188.5274,-2.075447529,2.075447529
2MASS J17043634-6219457,-189969.5239,-707.8078829,707.8078829
2MASS J17060555+0412354,-141262.165,516.1100793,-516.1100793
2MASS J17093199-6027271,-173338.7288,-1108.554102,1108.554102
2MASS J17124284-5211479,-177981.6663,75.20024768,-75.20024768
2MASS J17131974-7113010,-154344.1717,891.7442758,-891.7442758
2MASS J17163340-7009028,-165779.5442,-30.14018421,30.14018421
2MASS J17225742-7123000,-199480.1586,113.8028774,-113.8028774
BD+17:3248,-169575.8238,-17.5123823,17.5123823
J173025.57+414334.7,-122694.4276,1821.348201,-1821.348201
2MASS J17360008-5145303,-186595.809,807.0806394,-807.0806394
2MASS J17383643-5358288,-181895.275,749.604378,-749.604378
2MASS J17400682-6102129,-167272.3067,719.3089871,-719.3089871
2MASS J17414840-5340354,-188740.9647,211.520846,-211.520846
2MASS J17435113-5359333,-127418.8172,-723.743354,723.743354
SMSS J175046.30-425506.9,-72789.34329,308.8928489,-308.8928489
RAVE J175159.8-475131,-100714.4682,548.7582414,-548.7582414
BM235,-156288.3986,220.4679591,-220.4679591
2MASS J17541561-5148268,-191322.4598,261.7617039,-261.7617039
G 154-34,-168611.7264,-513.4832276,513.4832276
SMSS J175738.37-454823.5,-164194.0823,918.630255,-918.630255
2MASS J18024226-4404426,-199248.2048,147.4350314,-147.4350314
2MASS J18050641-4907579,-152096.8506,660.3608422,-660.3608422
SMSS J181505.16-385514.9,-160995.3087,356.5399135,-356.5399135
2MASS J18174532-3353235,-180904.1998,-187.8793855,187.8793855
2MASS J18272347-5133001,-177203.7702,-230.4364522,230.4364522
2MASS J18285086-3434203,-160462.6894,-1348.398328,1348.398328
2MASS J18294122-4504000,-187464.9235,117.0855776,-117.0855776
2MASS J18294359-4924253,-183670.7125,-190.6847809,190.6847809
RAVE J183013.5-455510,-115118.0015,1322.657527,-1322.657527
SMSS J183128.71-341018.4,-182843.2649,-70.89454843,70.89454843
SMSS J183225.29-334938.4,-188613.1731,-257.6103373,257.6103373
2MASS J18332056-3802590,-186160.1946,-554.5287707,554.5287707
2MASS J18362318-6428124,-182704.6389,-813.0127223,813.0127223
2MASS J18363613-7136597,-187026.4076,-530.1544902,530.1544902
SMSS J183647.89-274333.1,-190523.7429,-359.5521271,359.5521271
HD 175305,-186184.1816,-65.33503371,65.33503371
2MASS J18562774-7251331,-165870.3217,-1243.379573,1243.379573
2MASS J19014952-4844359,-178288.9596,-80.81151789,80.81151789
2MASS J19050116-1949280,-182196.5011,260.5288759,-260.5288759
SMSS J190911.03-213207.5,-187257.6592,33.48351892,-33.48351892
2MASS J19092677-5140208,-185223.4665,-514.8782259,514.8782259
SMSS J190931.13-214053.9,-162048.0345,500.9753762,-500.9753762
HD 178443,-145898.1818,761.4471037,-761.4471037
HD 179626,-171596.6185,-898.4026121,898.4026121
2MASS J19161821-5544454,-184217.3236,75.29199905,-75.29199905
2MASS J19192768-5959140,-179561.0767,-857.7577774,857.7577774
2MASS J19215077-4452545,-170742.0073,-1284.043944,1284.043944
2MASS J19232518-5833410,-183887.6226,-420.1157607,420.1157607
2MASS J19232941-4425432,-172703.6842,-432.7054161,432.7054161
RAVE J192632.8-584657,-169464.7808,87.95649101,-87.95649101
RAVE J192819.9-633935,-154236.7874,-1791.635627,1791.635627
2MASS J19291910-5528181,-165055.1233,396.2418018,-396.2418018
BPS CS 22896-0055,-167618.8208,-894.3074471,894.3074471
2MASS J19310426-3707397,-151688.2604,-1571.68433,1571.68433
2MASS J19324858-5908019,-160379.4892,-1729.493945,1729.493945
2MASS J19345326-3236567,-179365.6394,343.1194532,-343.1194532
SMSS J193617.38-790231.4,-174306.2634,577.919007,-577.919007
BPS CS 22896-0154,-173780.4701,658.2085958,-658.2085958
2MASS J19445483-4039459,-176610.4203,-1020.989404,1020.989404
2MASS J19451414-1729269,-176577.8421,-392.5407077,392.5407077
RAVE J194550.6-392631,-179817.2533,-245.4657809,245.4657809
2MASS J19552158-4613569,-158318.2084,-345.3761096,345.3761096
2MASS J19563822-4054235,-137855.0711,-903.222248,903.222248
Gaia DR2 2233912206910720000,-169309.061,-910.2675684,910.2675684
2MASS J19584033+0430396,-168352.5345,-203.239075,203.239075
SMSS J195931.70-643529.3,-172664.6425,-546.1088201,546.1088201
2MASS J20000364-3301351,-170373.8548,-1026.651597,1026.651597
2MASS J20005766-2541488,-181368.208,-498.7400377,498.7400377
2MASS J20050670-3057445,-159746.6695,-539.7042239,539.7042239
2MASS J20080083-2759265,-116860.9078,1350.590475,-1350.590475
2MASS J20093393-3410273,-169124.4713,269.545392,-269.545392
2MASS J20102782-0826556,-171019.033,-1094.616139,1094.616139
2MASS J20103193-3558546,-182792.3233,241.36421,-241.36421
2MASS J20194310-3158163,-138742.1562,-1703.60189,1703.60189
BPS CS 22943-0132,-101317.9358,-2645.3223,2645.3223
2MASS J20233743-1659533,-171937.4247,112.4541599,-112.4541599
2MASS J20303339-2519500,-166467.5978,-415.682652,415.682652
2MASS J20362262-0714197,-179463.5971,-392.4961123,392.4961123
2MASS J20374042-5520500,-116377.5733,1373.659315,-1373.659315
2MASS J20384318-0023327,-171040.4386,421.4279627,-421.4279627
2MASS J20385893-0252115,-155590.3506,-1036.7011,1036.7011
2MASS J20411424-4654315,-170768.6111,460.400524,-460.400524
BPS CS 22955-0174,-167429.5265,-1037.56809,1037.56809
2MASS J20435776-4408037,-175464.2188,234.5942485,-234.5942485
2MASS J20453454-1431151,-166951.0999,678.6603085,-678.6603085
2MASS J20492765-5124440,-161431.9954,547.0804487,-547.0804487
2MASS J20504869-3355289,-168163.7417,-1099.28577,1099.28577
2MASS J20514971-6158008,-167886.771,-954.0698818,954.0698818
BPS CS 22940-0121,-151800.843,530.9692915,-530.9692915
2MASS J20554594-3155159,-149083.047,-1359.626096,1359.626096
2MASS J20584918-0354340,-177559.1149,-143.9284562,143.9284562
2MASS J21003824-0539171,-150971.7371,-185.0665397,185.0665397
2MASS J21055865-4919336,-155735.9718,-778.3198515,778.3198515
2MASS J21063474-4957500,-157475.8857,-384.651878,384.651878
2MASS J21064294-6828266,-165505.4191,-38.24726435,38.24726435
2MASS J21091825-1310062,-156143.7455,-1492.2597,1492.2597
2MASS J21095804-0945400,-153076.5348,259.3826081,-259.3826081
2MASS J21162185-0213420,-183047.4855,204.6196881,-204.6196881
2MASS J21220020-0820333,-169220.6197,303.3830997,-303.3830997
2MASS J21224590-4641030,-103842.9338,-1158.298939,1158.298939
2MASS J21262525-2144243,-155395.5259,-233.1672118,233.1672118
BD-03:5215,-175270.3504,-180.5358869,180.5358869
HE 2134+0001,-135447.6955,906.5416299,-906.5416299
2MASS J21462219-0512324,-162216.4711,318.2657521,-318.2657521
G 214-1,,,0
BPS CS 22951-0059,,,0
RAVE J215118.3-135937,energy_mean(km^2 s^(-2)),j_phi(kpc s^(-1)),#VALUE!
BPS CS 29493-0062,-153753.5716,-705.4602332,705.4602332
HE 2155+0136,-150286.9814,-572.0016688,572.0016688
HE 2154-2838,-143011.6038,783.8600238,-783.8600238
BPS BS 17569-0049,-168319.4197,-1411.983371,1411.983371
HE 2206-2245,-148068.5714,-1067.694789,1067.694789
BPS CS 22886-0012,-172559.9995,304.679553,-304.679553
SMSS J221448.33-453949.9,-157785.7007,-97.77487992,97.77487992
2MASS J22161170-5319492,-171474.6458,-114.9236508,114.9236508
2MASS J22163596+0246171,-175810.3046,603.1714132,-603.1714132
BPS CS 22892-0052,-170034.1678,125.4381172,-125.4381172
2MASS J22182082-3827554,-158538.2878,-1321.410194,1321.410194
2MASS J22190836-2333467,-118499.9261,-834.6152067,834.6152067
HE 2216-1548,-161910.4528,403.8167014,-403.8167014
2MASS J22220344-8024592,-141844.1715,1308.243202,-1308.243202
BPS CS 22886-0043,-148153.7044,-1402.577536,1402.577536
BPS CS 22960-0064,-159424.921,687.6170633,-687.6170633
HE 2224+0143,-182152.4324,-141.3701104,141.3701104
BPS CS 22875-0029,-119976.4561,-749.6016924,749.6016924
