# Object	Reference	[Fe/H]	[C/Fe]
SAGA_Dra_000112	E.N.Kirby+,ApJS, 191, 352, 2010	-1.68	
SAGA_Dra_000112	G.E.Duggan+,ApJ, 869, 50, 2018	-1.92	
SAGA_Dra_000115	E.N.Kirby+,ApJ, 801, 125, 2015	-2.28	-0.06
SAGA_Dra_000115	E.N.Kirby+,ApJS, 191, 352, 2010	-2.05	
SAGA_Dra_000117	E.N.Kirby+,ApJ, 801, 125, 2015	-2.39	0
SAGA_Dra_000117	E.N.Kirby+,ApJS, 191, 352, 2010	-2.11	
SAGA_Dra_000118	E.N.Kirby+,ApJ, 801, 125, 2015	-1.99	-0.84
SAGA_Dra_000118	E.N.Kirby+,ApJS, 191, 352, 2010	-1.69	
SAGA_Dra_000118	G.E.Duggan+,ApJ, 869, 50, 2018	-1.88	
SAGA_Dra_000119	E.N.Kirby+,ApJ, 801, 125, 2015	-1.38	-0.61
SAGA_Dra_000119	E.N.Kirby+,ApJS, 191, 352, 2010	-1.14	
SAGA_Dra_000120	E.N.Kirby+,ApJ, 801, 125, 2015	-2.01	-0.56
SAGA_Dra_000120	E.N.Kirby+,ApJS, 191, 352, 2010	-1.71	
SAGA_Dra_000120	G.E.Duggan+,ApJ, 869, 50, 2018	-1.88	
SAGA_Dra_000122	E.N.Kirby+,ApJ, 801, 125, 2015	-2.23	0.31
SAGA_Dra_000122	E.N.Kirby+,ApJS, 191, 352, 2010	-1.91	
SAGA_Dra_000125	E.N.Kirby+,ApJ, 801, 125, 2015	-1.92	-0.24
SAGA_Dra_000125	E.N.Kirby+,ApJS, 191, 352, 2010	-1.59	
SAGA_Dra_000129	E.N.Kirby+,ApJ, 801, 125, 2015	-1.5	-0.59
SAGA_Dra_000129	E.N.Kirby+,ApJS, 191, 352, 2010	-1.2	
SAGA_Dra_000129	G.E.Duggan+,ApJ, 869, 50, 2018	-1.49	
SAGA_Dra_000131	E.N.Kirby+,ApJ, 801, 125, 2015	-1.46	-0.39
SAGA_Dra_000131	E.N.Kirby+,ApJS, 191, 352, 2010	-1.14	
SAGA_Dra_000131	G.E.Duggan+,ApJ, 869, 50, 2018	-1.34	
SAGA_Dra_000132	E.N.Kirby+,ApJ, 801, 125, 2015	-1.56	-0.33
SAGA_Dra_000132	E.N.Kirby+,ApJS, 191, 352, 2010	-1.22	
SAGA_Dra_000132	G.E.Duggan+,ApJ, 869, 50, 2018	-1.37	
SAGA_Dra_000138	E.N.Kirby+,ApJ, 801, 125, 2015	-1.94	-0.33
SAGA_Dra_000138	E.N.Kirby+,ApJS, 191, 352, 2010	-1.63	
SAGA_Dra_000141	E.N.Kirby+,ApJ, 801, 125, 2015	-2.01	-0.04
SAGA_Dra_000141	E.N.Kirby+,ApJS, 191, 352, 2010	-1.71	
SAGA_Dra_000142	E.N.Kirby+,ApJ, 801, 125, 2015	-2.15	-0.29
SAGA_Dra_000142	M.D.Shetrone+,AJ, 145, 123, 2013	-1.87	-0.61
SAGA_Dra_000142	E.N.Kirby+,ApJS, 191, 352, 2010	-1.83	
SAGA_Dra_000146	E.N.Kirby+,ApJ, 801, 125, 2015	-2.08	0.39
SAGA_Dra_000146	E.N.Kirby+,ApJS, 191, 352, 2010	-1.71	
SAGA_Dra_000146	G.E.Duggan+,ApJ, 869, 50, 2018	-1.9	
SAGA_Dra_000147	E.N.Kirby+,ApJ, 801, 125, 2015	-2.1	-0.77
SAGA_Dra_000147	E.N.Kirby+,ApJS, 191, 352, 2010	-1.79	
SAGA_Dra_000147	G.E.Duggan+,ApJ, 869, 50, 2018	-1.92	
SAGA_Dra_000150	E.N.Kirby+,ApJ, 801, 125, 2015	-2.48	0.19
SAGA_Dra_000150	E.N.Kirby+,ApJS, 191, 352, 2010	-2.16	
SAGA_Dra_000153	E.N.Kirby+,ApJ, 801, 125, 2015	-1.92	0.42
SAGA_Dra_000153	E.N.Kirby+,ApJS, 191, 352, 2010	-1.58	
SAGA_Dra_000154	E.N.Kirby+,ApJ, 801, 125, 2015	-2.02	-0.17
SAGA_Dra_000154	E.N.Kirby+,ApJS, 191, 352, 2010	-1.73	
SAGA_Dra_000155	E.N.Kirby+,ApJ, 801, 125, 2015	-2.31	0.19
SAGA_Dra_000155	E.N.Kirby+,ApJS, 191, 352, 2010	-2.03	
SAGA_Dra_000156	E.N.Kirby+,ApJ, 801, 125, 2015	-1.55	-1.34
SAGA_Dra_000156	E.N.Kirby+,ApJS, 191, 352, 2010	-1.14	
SAGA_Dra_000156	G.E.Duggan+,ApJ, 869, 50, 2018	-1.18	
SAGA_Dra_000156	T.Tsujimoto+,PASJ, 67, L3, 2015	-1.45	
SAGA_Dra_000158	E.N.Kirby+,ApJ, 801, 125, 2015	-1.92	-1.02
SAGA_Dra_000158	E.N.Kirby+,ApJS, 191, 352, 2010	-1.55	
SAGA_Dra_000158	G.E.Duggan+,ApJ, 869, 50, 2018	-1.77	
SAGA_Dra_000162	E.N.Kirby+,ApJ, 801, 125, 2015	-2.15	-0.25
SAGA_Dra_000162	E.N.Kirby+,ApJS, 191, 352, 2010	-1.86	
SAGA_Dra_000163	E.N.Kirby+,ApJ, 801, 125, 2015	-1.79	-1.47
SAGA_Dra_000163	E.N.Kirby+,ApJS, 191, 352, 2010	-1.49	
SAGA_Dra_000163	G.E.Duggan+,ApJ, 869, 50, 2018	-1.7	
SAGA_Dra_000164	T.Tsujimoto+,ApJ, 850, L12, 2017		
SAGA_Dra_000164	E.N.Kirby+,ApJ, 801, 125, 2015	-2.27	-0.56
SAGA_Dra_000164	E.N.Kirby+,ApJS, 191, 352, 2010	-2	
SAGA_Dra_000164	G.E.Duggan+,ApJ, 869, 50, 2018	-2.19	
SAGA_Dra_000165	E.N.Kirby+,ApJ, 801, 125, 2015	-2.01	-0.85
SAGA_Dra_000165	E.N.Kirby+,ApJS, 191, 352, 2010	-1.67	
SAGA_Dra_000165	G.E.Duggan+,ApJ, 869, 50, 2018	-1.86	
SAGA_Dra_000166	E.N.Kirby+,ApJ, 801, 125, 2015	-2.06	-0.27
SAGA_Dra_000166	E.N.Kirby+,ApJS, 191, 352, 2010	-1.75	
SAGA_Dra_000169	E.N.Kirby+,ApJ, 801, 125, 2015	-2.03	-0.66
SAGA_Dra_000169	M.D.Shetrone+,AJ, 145, 123, 2013	-1.9	-0.57
SAGA_Dra_000169	E.N.Kirby+,ApJS, 191, 352, 2010	-1.72	
SAGA_Dra_000169	G.E.Duggan+,ApJ, 869, 50, 2018	-1.87	
SAGA_Dra_000170	E.N.Kirby+,ApJ, 801, 125, 2015	-2.32	0.1
SAGA_Dra_000170	E.N.Kirby+,ApJS, 191, 352, 2010	-2.03	
SAGA_Dra_000175	E.N.Kirby+,ApJ, 801, 125, 2015	-2.54	-0.42
SAGA_Dra_000175	E.N.Kirby+,ApJS, 191, 352, 2010	-2.22	
SAGA_Dra_000175	G.E.Duggan+,ApJ, 869, 50, 2018	-2.35	
SAGA_Dra_000177	E.N.Kirby+,ApJ, 801, 125, 2015	-2.25	-0.77
SAGA_Dra_000177	M.D.Shetrone+,AJ, 145, 123, 2013	-2.34	-0.66
SAGA_Dra_000177	E.N.Kirby+,ApJS, 191, 352, 2010	-1.94	
SAGA_Dra_000177	G.E.Duggan+,ApJ, 869, 50, 2018	-2.14	
SAGA_Dra_000182	E.N.Kirby+,ApJ, 801, 125, 2015	-2.62	0.27
SAGA_Dra_000182	E.N.Kirby+,ApJS, 191, 352, 2010	-2.31	
SAGA_Dra_000183	E.N.Kirby+,ApJ, 801, 125, 2015	-2.01	-0.22
SAGA_Dra_000183	E.N.Kirby+,ApJS, 191, 352, 2010	-1.68	
SAGA_Dra_000183	G.E.Duggan+,ApJ, 869, 50, 2018	-1.87	
SAGA_Dra_000185	E.N.Kirby+,ApJ, 801, 125, 2015	-2.36	0.06
SAGA_Dra_000185	E.N.Kirby+,ApJS, 191, 352, 2010	-2.05	
SAGA_Dra_000186	E.N.Kirby+,ApJ, 801, 125, 2015	-2.29	-0.15
SAGA_Dra_000186	E.N.Kirby+,ApJS, 191, 352, 2010	-1.98	
SAGA_Dra_000189	E.N.Kirby+,ApJ, 801, 125, 2015	-2.62	0.31
SAGA_Dra_000189	E.N.Kirby+,ApJS, 191, 352, 2010	-2.32	
SAGA_Dra_000192	E.N.Kirby+,ApJ, 801, 125, 2015	-3.22	0.84
SAGA_Dra_000192	E.N.Kirby+,ApJS, 191, 352, 2010	-2.92	
SAGA_Dra_000194	E.N.Kirby+,ApJ, 801, 125, 2015	-1.96	-0.09
SAGA_Dra_000194	E.N.Kirby+,ApJS, 191, 352, 2010	-1.63	
SAGA_Dra_000198	E.N.Kirby+,ApJ, 801, 125, 2015	-2.73	0.2
SAGA_Dra_000198	E.N.Kirby+,ApJS, 191, 352, 2010	-2.45	
SAGA_Dra_000198	G.E.Duggan+,ApJ, 869, 50, 2018	-2.68	
SAGA_Dra_000200	E.N.Kirby+,ApJ, 801, 125, 2015	-2.23	-0.12
SAGA_Dra_000200	E.N.Kirby+,ApJS, 191, 352, 2010	-1.89	
SAGA_Dra_000202	E.N.Kirby+,ApJ, 801, 125, 2015	-2.28	0.01
SAGA_Dra_000202	E.N.Kirby+,ApJS, 191, 352, 2010	-1.96	
SAGA_Dra_000203	E.N.Kirby+,ApJ, 801, 125, 2015	-2.04	0.12
SAGA_Dra_000203	E.N.Kirby+,ApJS, 191, 352, 2010	-1.72	
SAGA_Dra_000204	E.N.Kirby+,ApJ, 801, 125, 2015	-2.12	-0.41
SAGA_Dra_000204	E.N.Kirby+,ApJS, 191, 352, 2010	-1.79	
SAGA_Dra_000205	E.N.Kirby+,ApJ, 801, 125, 2015	-2.04	-0.24
SAGA_Dra_000205	E.N.Kirby+,ApJS, 191, 352, 2010	-2.04	
SAGA_Dra_000207	E.N.Kirby+,ApJ, 801, 125, 2015	-2.2	-0.02
SAGA_Dra_000207	E.N.Kirby+,ApJS, 191, 352, 2010	-1.92	
SAGA_Dra_000210	E.N.Kirby+,ApJ, 801, 125, 2015	-2.06	-0.7
SAGA_Dra_000210	E.N.Kirby+,ApJS, 191, 352, 2010	-1.74	
