# Object	Reference	[Fe/H]	[C/Fe]
SAGA_Scl_000203	E.N.Kirby+,ApJS, 191, 352, 2010	-1.57	
SAGA_Scl_000203	G.E.Duggan+,ApJ, 869, 50, 2018	-1.76	
SAGA_Scl_000205	E.N.Kirby+,ApJ, 705, 328, 2009	-1.33	
SAGA_Scl_000205	E.N.Kirby+,ApJ, 801, 125, 2015	-1.41	-0.52
SAGA_Scl_000205	E.N.Kirby+,ApJS, 191, 352, 2010	-1.24	
SAGA_Scl_000205	G.E.Duggan+,ApJ, 869, 50, 2018	-1.39	
SAGA_Scl_000206	E.N.Kirby+,ApJ, 705, 328, 2009	-1.33	
SAGA_Scl_000206	E.N.Kirby+,ApJ, 801, 125, 2015	-1.27	-0.61
SAGA_Scl_000206	E.N.Kirby+,ApJS, 191, 352, 2010	-1.05	
SAGA_Scl_000206	G.E.Duggan+,ApJ, 869, 50, 2018	-1.26	
SAGA_Scl_000208	E.N.Kirby+,ApJ, 705, 328, 2009	-1.83	
SAGA_Scl_000208	E.N.Kirby+,ApJ, 801, 125, 2015	-1.96	-0.54
SAGA_Scl_000208	E.N.Kirby+,ApJS, 191, 352, 2010	-1.78	
SAGA_Scl_000208	G.E.Duggan+,ApJ, 869, 50, 2018	-1.94	
SAGA_Scl_000212	E.N.Kirby+,ApJ, 705, 328, 2009	-1.58	
SAGA_Scl_000212	E.N.Kirby+,ApJ, 801, 125, 2015	-1.75	-0.56
SAGA_Scl_000212	E.N.Kirby+,ApJS, 191, 352, 2010	-1.59	
SAGA_Scl_000213	E.N.Kirby+,ApJ, 705, 328, 2009	-1.29	
SAGA_Scl_000213	E.N.Kirby+,ApJ, 801, 125, 2015	-1.44	-0.38
SAGA_Scl_000213	E.N.Kirby+,ApJS, 191, 352, 2010	-1.27	
SAGA_Scl_000215	E.N.Kirby+,ApJ, 705, 328, 2009	-1.42	
SAGA_Scl_000215	E.N.Kirby+,ApJ, 801, 125, 2015	-1.57	-0.46
SAGA_Scl_000215	E.N.Kirby+,ApJ, 752, L16, 2012	-1.59	
SAGA_Scl_000215	E.N.Kirby+,ApJS, 191, 352, 2010	-1.42	
SAGA_Scl_000215	G.E.Duggan+,ApJ, 869, 50, 2018	-1.55	
SAGA_Scl_000216	E.N.Kirby+,ApJ, 705, 328, 2009	-1.3	
SAGA_Scl_000216	E.N.Kirby+,ApJ, 801, 125, 2015	-1.43	-0.65
SAGA_Scl_000216	E.N.Kirby+,ApJS, 191, 352, 2010	-1.23	
SAGA_Scl_000216	G.E.Duggan+,ApJ, 869, 50, 2018	-1.41	
SAGA_Scl_000217	E.N.Kirby+,ApJ, 705, 328, 2009	-1.68	
SAGA_Scl_000217	E.N.Kirby+,ApJ, 801, 125, 2015	-1.87	-0.53
SAGA_Scl_000217	E.N.Kirby+,ApJS, 191, 352, 2010	-1.72	
SAGA_Scl_000217	G.E.Duggan+,ApJ, 869, 50, 2018	-1.86	
SAGA_Scl_000218	E.N.Kirby+,ApJ, 705, 328, 2009	-1.62	
SAGA_Scl_000218	E.N.Kirby+,ApJ, 801, 125, 2015	-1.72	-0.92
SAGA_Scl_000218	E.N.Kirby+,ApJS, 191, 352, 2010	-1.57	
SAGA_Scl_000218	G.E.Duggan+,ApJ, 869, 50, 2018	-1.71	
SAGA_Scl_000219	E.N.Kirby+,ApJ, 705, 328, 2009	-0.96	
SAGA_Scl_000219	E.N.Kirby+,ApJ, 801, 125, 2015	-1.07	-0.53
SAGA_Scl_000219	E.N.Kirby+,ApJS, 191, 352, 2010	-0.9	
SAGA_Scl_000219	G.E.Duggan+,ApJ, 869, 50, 2018	-1.06	
SAGA_Scl_000220	E.N.Kirby+,ApJ, 705, 328, 2009	-1.65	
SAGA_Scl_000220	E.N.Kirby+,ApJ, 801, 125, 2015	-1.81	-0.97
SAGA_Scl_000220	E.N.Kirby+,ApJS, 191, 352, 2010	-1.65	
SAGA_Scl_000220	G.E.Duggan+,ApJ, 869, 50, 2018	-1.79	
SAGA_Scl_000222	E.N.Kirby+,ApJ, 705, 328, 2009	-0.92	
SAGA_Scl_000222	E.N.Kirby+,ApJ, 801, 125, 2015	-1.09	-0.36
SAGA_Scl_000222	E.N.Kirby+,ApJS, 191, 352, 2010	-0.88	
SAGA_Scl_000226	E.N.Kirby+,ApJ, 705, 328, 2009	-2.09	
SAGA_Scl_000226	E.N.Kirby+,ApJ, 801, 125, 2015	-1.99	-0.83
SAGA_Scl_000226	E.N.Kirby+,ApJS, 191, 352, 2010	-1.97	
SAGA_Scl_000226	G.E.Duggan+,ApJ, 869, 50, 2018	-1.98	
SAGA_Scl_000227	E.N.Kirby+,ApJ, 705, 328, 2009	-2.01	
SAGA_Scl_000227	E.N.Kirby+,ApJ, 801, 125, 2015	-2.28	-0.44
SAGA_Scl_000227	E.N.Kirby+,ApJS, 191, 352, 2010	-2.09	
SAGA_Scl_000227	G.E.Duggan+,ApJ, 869, 50, 2018	-2.26	
SAGA_Scl_000233	E.N.Kirby+,ApJ, 705, 328, 2009	-1.77	
SAGA_Scl_000233	E.N.Kirby+,ApJ, 801, 125, 2015	-1.9	-0.83
SAGA_Scl_000233	E.N.Kirby+,ApJS, 191, 352, 2010	-1.77	
SAGA_Scl_000233	G.E.Duggan+,ApJ, 869, 50, 2018	-1.88	
SAGA_Scl_000234	E.N.Kirby+,ApJ, 705, 328, 2009	-1.64	
SAGA_Scl_000234	E.N.Kirby+,ApJ, 801, 125, 2015	-1.67	-0.54
SAGA_Scl_000234	E.N.Kirby+,ApJ, 752, L16, 2012	-1.7	
SAGA_Scl_000234	E.N.Kirby+,ApJS, 191, 352, 2010	-1.53	
SAGA_Scl_000234	G.E.Duggan+,ApJ, 869, 50, 2018	-1.66	
SAGA_Scl_000241	E.N.Kirby+,ApJ, 705, 328, 2009	-1.18	
SAGA_Scl_000241	E.N.Kirby+,ApJ, 801, 125, 2015	-1.3	-0.76
SAGA_Scl_000241	E.N.Kirby+,ApJS, 191, 352, 2010	-1.12	
SAGA_Scl_000241	G.E.Duggan+,ApJ, 869, 50, 2018	-1.29	
SAGA_Scl_000242	E.N.Kirby+,ApJ, 705, 328, 2009	-2.4	
SAGA_Scl_000242	E.N.Kirby+,ApJ, 801, 125, 2015	-2.59	-0.21
SAGA_Scl_000242	E.N.Kirby+,ApJS, 191, 352, 2010	-2.41	
SAGA_Scl_000242	G.E.Duggan+,ApJ, 869, 50, 2018	-2.58	
SAGA_Scl_000243	E.N.Kirby+,ApJ, 705, 328, 2009	-1	
SAGA_Scl_000243	E.N.Kirby+,ApJ, 801, 125, 2015	-1.09	-0.48
SAGA_Scl_000243	E.N.Kirby+,ApJS, 191, 352, 2010	-0.96	
SAGA_Scl_000246	E.N.Kirby+,ApJ, 705, 328, 2009	-1.25	
SAGA_Scl_000246	E.N.Kirby+,ApJ, 801, 125, 2015	-1.42	-0.52
SAGA_Scl_000246	E.N.Kirby+,ApJS, 191, 352, 2010	-1.23	
SAGA_Scl_000246	G.E.Duggan+,ApJ, 869, 50, 2018	-1.41	
SAGA_Scl_000249	E.N.Kirby+,ApJ, 705, 328, 2009	-1.31	
SAGA_Scl_000249	A.Skuladottir+,AAP, 606, A71, 2017	-1.37	
SAGA_Scl_000249	E.N.Kirby+,ApJ, 801, 125, 2015	-1.43	-0.94
SAGA_Scl_000249	E.N.Kirby+,ApJS, 191, 352, 2010	-1.16	
SAGA_Scl_000249	G.E.Duggan+,ApJ, 869, 50, 2018	-1.41	
SAGA_Scl_000250	E.N.Kirby+,ApJ, 705, 328, 2009	-2.66	
SAGA_Scl_000250	E.N.Kirby+,ApJ, 801, 125, 2015	-2.57	-0.92
SAGA_Scl_000250	A.Chiti+,ApJ, 856, 142, 2018	-2.91	0.31
SAGA_Scl_000250	E.N.Kirby+,ApJS, 191, 352, 2010	-2.42	
SAGA_Scl_000253	E.N.Kirby+,ApJ, 705, 328, 2009	-1.11	
SAGA_Scl_000253	E.N.Kirby+,ApJ, 801, 125, 2015	-1.25	-0.09
SAGA_Scl_000253	E.N.Kirby+,ApJS, 191, 352, 2010	-1.09	
SAGA_Scl_000253	G.E.Duggan+,ApJ, 869, 50, 2018	-1.24	
SAGA_Scl_000255	E.N.Kirby+,ApJ, 705, 328, 2009	-1.16	
SAGA_Scl_000255	E.N.Kirby+,ApJ, 801, 125, 2015	-1.38	-0.21
SAGA_Scl_000255	E.N.Kirby+,ApJS, 191, 352, 2010	-1.13	
SAGA_Scl_000256	E.N.Kirby+,ApJ, 705, 328, 2009	-1.18	
SAGA_Scl_000256	E.N.Kirby+,ApJ, 801, 125, 2015	-1.31	-0.56
SAGA_Scl_000256	E.N.Kirby+,ApJS, 191, 352, 2010	-1.07	
SAGA_Scl_000256	G.E.Duggan+,ApJ, 869, 50, 2018	-1.3	
SAGA_Scl_000257	E.N.Kirby+,ApJ, 705, 328, 2009	-1.21	
SAGA_Scl_000257	E.N.Kirby+,ApJ, 801, 125, 2015	-1.28	-0.73
SAGA_Scl_000257	E.N.Kirby+,ApJS, 191, 352, 2010	-1.09	
SAGA_Scl_000257	G.E.Duggan+,ApJ, 869, 50, 2018	-1.27	
SAGA_Scl_000262	E.N.Kirby+,ApJ, 705, 328, 2009	-1.95	
SAGA_Scl_000262	E.N.Kirby+,ApJ, 801, 125, 2015	-2.1	-1.04
SAGA_Scl_000262	E.N.Kirby+,ApJS, 191, 352, 2010	-1.92	
SAGA_Scl_000262	G.E.Duggan+,ApJ, 869, 50, 2018	-2.08	
SAGA_Scl_000264	E.N.Kirby+,ApJ, 705, 328, 2009	-1.97	
SAGA_Scl_000264	E.N.Kirby+,ApJ, 801, 125, 2015	-2.08	-0.51
SAGA_Scl_000264	E.N.Kirby+,ApJS, 191, 352, 2010	-1.92	
SAGA_Scl_000264	G.E.Duggan+,ApJ, 869, 50, 2018	-2.07	
SAGA_Scl_000265	E.N.Kirby+,ApJ, 705, 328, 2009	-1.11	
SAGA_Scl_000265	E.N.Kirby+,ApJ, 801, 125, 2015	-1.27	-0.72
SAGA_Scl_000265	E.N.Kirby+,ApJS, 191, 352, 2010	-1.04	
SAGA_Scl_000265	G.E.Duggan+,ApJ, 869, 50, 2018	-1.25	
SAGA_Scl_000266	E.N.Kirby+,ApJ, 705, 328, 2009	-0.95	
SAGA_Scl_000266	E.N.Kirby+,ApJ, 801, 125, 2015	-1.09	-0.85
SAGA_Scl_000266	E.N.Kirby+,ApJS, 191, 352, 2010	-0.89	
SAGA_Scl_000266	G.E.Duggan+,ApJ, 869, 50, 2018	-1.08	
SAGA_Scl_000267	E.N.Kirby+,ApJ, 705, 328, 2009	-1.14	
SAGA_Scl_000267	E.N.Kirby+,ApJ, 801, 125, 2015	-1.25	-0.58
SAGA_Scl_000267	E.N.Kirby+,ApJS, 191, 352, 2010	-1.06	
SAGA_Scl_000268	E.N.Kirby+,ApJ, 705, 328, 2009	-1.68	
SAGA_Scl_000268	E.N.Kirby+,ApJS, 191, 352, 2010	-1.6	
SAGA_Scl_000268	C.Lardo+,AAP, 585, A70, 2016	-1.92	-0.68
SAGA_Scl_000269	E.N.Kirby+,ApJ, 705, 328, 2009	-1.71	
SAGA_Scl_000269	E.N.Kirby+,ApJ, 801, 125, 2015	-1.78	-0.28
SAGA_Scl_000269	E.N.Kirby+,ApJS, 191, 352, 2010	-1.68	
SAGA_Scl_000270	E.N.Kirby+,ApJ, 705, 328, 2009	-1.53	
SAGA_Scl_000270	E.N.Kirby+,ApJ, 801, 125, 2015	-1.52	-0.51
SAGA_Scl_000270	E.N.Kirby+,ApJS, 191, 352, 2010	-1.33	
SAGA_Scl_000271	E.N.Kirby+,ApJ, 705, 328, 2009	-1.32	
SAGA_Scl_000271	E.N.Kirby+,ApJ, 801, 125, 2015	-1.4	-0.74
SAGA_Scl_000271	E.N.Kirby+,ApJS, 191, 352, 2010	-1.21	
SAGA_Scl_000271	G.E.Duggan+,ApJ, 869, 50, 2018	-1.39	
SAGA_Scl_000275	E.N.Kirby+,ApJ, 705, 328, 2009	-1.37	
SAGA_Scl_000275	E.N.Kirby+,ApJ, 801, 125, 2015	-1.54	-0.25
SAGA_Scl_000275	E.N.Kirby+,ApJS, 191, 352, 2010	-1.4	
SAGA_Scl_000275	G.E.Duggan+,ApJ, 869, 50, 2018	-1.53	
SAGA_Scl_000277	E.N.Kirby+,ApJ, 705, 328, 2009	-2.05	
SAGA_Scl_000277	E.N.Kirby+,ApJ, 801, 125, 2015	-2.27	0.07
SAGA_Scl_000277	E.N.Kirby+,ApJS, 191, 352, 2010	-2.09	
SAGA_Scl_000277	G.E.Duggan+,ApJ, 869, 50, 2018	-2.25	
SAGA_Scl_000278	E.N.Kirby+,ApJ, 705, 328, 2009	-1.72	
SAGA_Scl_000278	E.N.Kirby+,ApJ, 801, 125, 2015	-1.87	-0.82
SAGA_Scl_000278	E.N.Kirby+,ApJS, 191, 352, 2010	-1.75	
SAGA_Scl_000280	E.N.Kirby+,ApJ, 705, 328, 2009	-1.27	
SAGA_Scl_000280	E.N.Kirby+,ApJ, 801, 125, 2015	-1.61	-0.28
SAGA_Scl_000280	E.N.Kirby+,ApJS, 191, 352, 2010	-1.18	
SAGA_Scl_000281	E.N.Kirby+,ApJ, 705, 328, 2009	-1.62	
SAGA_Scl_000281	E.N.Kirby+,ApJ, 801, 125, 2015	-1.83	0.09
SAGA_Scl_000281	E.N.Kirby+,ApJS, 191, 352, 2010	-1.66	
SAGA_Scl_000283	E.N.Kirby+,ApJ, 705, 328, 2009	-1.78	
SAGA_Scl_000283	E.N.Kirby+,ApJ, 801, 125, 2015	-1.88	-0.55
SAGA_Scl_000283	E.N.Kirby+,ApJS, 191, 352, 2010	-1.7	
SAGA_Scl_000283	G.E.Duggan+,ApJ, 869, 50, 2018	-1.86	
SAGA_Scl_000285	E.N.Kirby+,ApJ, 705, 328, 2009	-2.37	
SAGA_Scl_000285	E.N.Kirby+,ApJ, 801, 125, 2015	-2.44	0.16
SAGA_Scl_000285	E.N.Kirby+,ApJS, 191, 352, 2010	-2.27	
SAGA_Scl_000288	E.N.Kirby+,ApJ, 705, 328, 2009	-1.25	
SAGA_Scl_000288	E.N.Kirby+,ApJ, 801, 125, 2015	-1.38	0.05
SAGA_Scl_000288	E.N.Kirby+,ApJS, 191, 352, 2010	-1.14	
SAGA_Scl_000288	G.E.Duggan+,ApJ, 869, 50, 2018	-1.37	
SAGA_Scl_000289	E.N.Kirby+,ApJ, 705, 328, 2009	-1.89	
SAGA_Scl_000289	E.N.Kirby+,ApJ, 801, 125, 2015	-2.09	-0.61
SAGA_Scl_000289	E.N.Kirby+,ApJS, 191, 352, 2010	-1.92	
SAGA_Scl_000289	G.E.Duggan+,ApJ, 869, 50, 2018	-2.07	
SAGA_Scl_000293	E.N.Kirby+,ApJ, 705, 328, 2009	-1.27	
SAGA_Scl_000293	E.N.Kirby+,ApJ, 801, 125, 2015	-1.37	-0.81
SAGA_Scl_000293	E.N.Kirby+,ApJS, 191, 352, 2010	-1.18	
SAGA_Scl_000293	G.E.Duggan+,ApJ, 869, 50, 2018	-1.36	
SAGA_Scl_000294	E.N.Kirby+,ApJ, 705, 328, 2009	-1.26	
SAGA_Scl_000294	E.N.Kirby+,ApJ, 801, 125, 2015	-1.37	-0.69
SAGA_Scl_000294	E.N.Kirby+,ApJS, 191, 352, 2010	-1.16	
SAGA_Scl_000294	G.E.Duggan+,ApJ, 869, 50, 2018	-1.35	
SAGA_Scl_000295	E.N.Kirby+,ApJ, 705, 328, 2009	-1.16	
SAGA_Scl_000295	E.N.Kirby+,ApJ, 801, 125, 2015	-1.28	-0.68
SAGA_Scl_000295	E.N.Kirby+,ApJS, 191, 352, 2010	-1.08	
SAGA_Scl_000299	E.N.Kirby+,ApJ, 705, 328, 2009	-1.89	
SAGA_Scl_000299	E.N.Kirby+,ApJ, 801, 125, 2015	-2.01	-0.73
SAGA_Scl_000299	E.N.Kirby+,ApJS, 191, 352, 2010	-1.87	
SAGA_Scl_000299	G.E.Duggan+,ApJ, 869, 50, 2018	-2	
SAGA_Scl_000301	E.N.Kirby+,ApJ, 705, 328, 2009	-1.79	
SAGA_Scl_000301	E.N.Kirby+,ApJ, 801, 125, 2015	-1.94	-0.15
SAGA_Scl_000301	E.N.Kirby+,ApJS, 191, 352, 2010	-1.82	
SAGA_Scl_000301	G.E.Duggan+,ApJ, 869, 50, 2018	-1.92	
SAGA_Scl_000302	E.N.Kirby+,ApJ, 705, 328, 2009	-1.3	
SAGA_Scl_000302	E.N.Kirby+,ApJ, 801, 125, 2015	-1.45	-0.57
SAGA_Scl_000302	E.N.Kirby+,ApJS, 191, 352, 2010	-1.26	
SAGA_Scl_000302	G.E.Duggan+,ApJ, 869, 50, 2018	-1.43	
SAGA_Scl_000304	E.N.Kirby+,ApJ, 705, 328, 2009	-1.14	
SAGA_Scl_000304	E.N.Kirby+,ApJ, 801, 125, 2015	-1.27	-0.63
SAGA_Scl_000304	E.N.Kirby+,ApJS, 191, 352, 2010	-1.04	
SAGA_Scl_000304	G.E.Duggan+,ApJ, 869, 50, 2018	-1.26	
SAGA_Scl_000305	E.N.Kirby+,ApJ, 705, 328, 2009	-1.32	
SAGA_Scl_000305	E.N.Kirby+,ApJ, 801, 125, 2015	-1.44	-0.81
SAGA_Scl_000305	E.N.Kirby+,ApJS, 191, 352, 2010	-1.19	
SAGA_Scl_000305	G.E.Duggan+,ApJ, 869, 50, 2018	-1.43	
SAGA_Scl_000308	E.N.Kirby+,ApJ, 705, 328, 2009	-1.88	
SAGA_Scl_000308	E.N.Kirby+,ApJ, 801, 125, 2015	-2.03	-0.7
SAGA_Scl_000308	E.N.Kirby+,ApJS, 191, 352, 2010	-1.87	
SAGA_Scl_000309	E.N.Kirby+,ApJ, 705, 328, 2009	-1.07	
SAGA_Scl_000309	E.N.Kirby+,ApJ, 801, 125, 2015	-1.32	-0.48
SAGA_Scl_000309	E.N.Kirby+,ApJS, 191, 352, 2010	-1.13	
SAGA_Scl_000311	E.N.Kirby+,ApJ, 705, 328, 2009	-2.14	
SAGA_Scl_000311	E.N.Kirby+,ApJ, 801, 125, 2015	-2.26	-0.83
SAGA_Scl_000311	E.N.Kirby+,ApJS, 191, 352, 2010	-2.11	
SAGA_Scl_000314	E.N.Kirby+,ApJ, 705, 328, 2009	-1.68	
SAGA_Scl_000314	E.N.Kirby+,ApJ, 801, 125, 2015	-1.73	-0.66
SAGA_Scl_000314	E.N.Kirby+,ApJS, 191, 352, 2010	-1.61	
SAGA_Scl_000318	E.N.Kirby+,ApJ, 705, 328, 2009	-1.19	
SAGA_Scl_000318	E.N.Kirby+,ApJ, 801, 125, 2015	-1.29	-0.55
SAGA_Scl_000318	E.N.Kirby+,ApJS, 191, 352, 2010	-1.13	
SAGA_Scl_000318	G.E.Duggan+,ApJ, 869, 50, 2018	-1.27	
SAGA_Scl_000320	E.N.Kirby+,ApJ, 705, 328, 2009	-1.33	
SAGA_Scl_000320	E.N.Kirby+,ApJ, 801, 125, 2015	-1.43	-0.64
SAGA_Scl_000320	E.N.Kirby+,ApJS, 191, 352, 2010	-1.27	
SAGA_Scl_000320	G.E.Duggan+,ApJ, 869, 50, 2018	-1.42	
SAGA_Scl_000324	E.N.Kirby+,ApJ, 705, 328, 2009	-2.54	
SAGA_Scl_000324	A.Skuladottir+,AAP, 606, A71, 2017	-1.32	
SAGA_Scl_000324	E.N.Kirby+,ApJ, 801, 125, 2015	-2.65	-0.72
SAGA_Scl_000324	E.N.Kirby+,ApJS, 191, 352, 2010	-2.55	
SAGA_Scl_000324	G.E.Duggan+,ApJ, 869, 50, 2018	-2.63	
SAGA_Scl_000328	E.N.Kirby+,ApJ, 705, 328, 2009	-1.34	
SAGA_Scl_000328	E.N.Kirby+,ApJ, 801, 125, 2015	-1.36	-0.21
SAGA_Scl_000328	E.N.Kirby+,ApJS, 191, 352, 2010	-1.21	
SAGA_Scl_000329	E.N.Kirby+,ApJ, 705, 328, 2009	-1.22	
SAGA_Scl_000329	E.N.Kirby+,ApJ, 801, 125, 2015	-1.4	-0.47
SAGA_Scl_000329	E.N.Kirby+,ApJS, 191, 352, 2010	-1.18	
SAGA_Scl_000330	E.N.Kirby+,ApJ, 705, 328, 2009	-2.11	
SAGA_Scl_000330	A.Skuladottir+,AAP, 606, A71, 2017	-2.41	
SAGA_Scl_000330	A.Chiti+,ApJ, 856, 142, 2018	-2.11	-0.48
SAGA_Scl_000330	E.N.Kirby+,ApJS, 191, 352, 2010	-2.08	
SAGA_Scl_000331	E.N.Kirby+,ApJ, 705, 328, 2009	-1.48	
SAGA_Scl_000331	E.N.Kirby+,ApJ, 801, 125, 2015	-1.56	-0.53
SAGA_Scl_000331	E.N.Kirby+,ApJS, 191, 352, 2010	-1.37	
SAGA_Scl_000331	G.E.Duggan+,ApJ, 869, 50, 2018	-1.54	
SAGA_Scl_000332	E.N.Kirby+,ApJ, 705, 328, 2009	-1.17	
SAGA_Scl_000332	E.N.Kirby+,ApJ, 801, 125, 2015	-1.33	-0.11
SAGA_Scl_000332	E.N.Kirby+,ApJS, 191, 352, 2010	-1.18	
SAGA_Scl_000334	E.N.Kirby+,ApJ, 705, 328, 2009	-1.03	
SAGA_Scl_000334	E.N.Kirby+,ApJ, 801, 125, 2015	-1.16	-0.67
SAGA_Scl_000334	E.N.Kirby+,ApJS, 191, 352, 2010	-0.9	
SAGA_Scl_000334	G.E.Duggan+,ApJ, 869, 50, 2018	-1.14	
SAGA_Scl_000338	E.N.Kirby+,ApJ, 705, 328, 2009	-2.04	
SAGA_Scl_000338	E.N.Kirby+,ApJ, 801, 125, 2015	-2.07	-0.54
SAGA_Scl_000338	E.N.Kirby+,ApJS, 191, 352, 2010	-1.9	
SAGA_Scl_000339	E.N.Kirby+,ApJ, 705, 328, 2009	-1.81	
SAGA_Scl_000339	E.N.Kirby+,ApJ, 801, 125, 2015	-1.96	-0.17
SAGA_Scl_000339	E.N.Kirby+,ApJS, 191, 352, 2010	-1.81	
SAGA_Scl_000340	E.N.Kirby+,ApJ, 705, 328, 2009	-2.74	
SAGA_Scl_000340	A.Chiti+,ApJ, 856, 142, 2018	-2.94	0.68
SAGA_Scl_000340	E.N.Kirby+,ApJS, 191, 352, 2010	-2.85	
SAGA_Scl_000341	E.N.Kirby+,ApJ, 705, 328, 2009	-1.89	
SAGA_Scl_000341	E.N.Kirby+,ApJ, 801, 125, 2015	-2.07	-0.11
SAGA_Scl_000341	E.N.Kirby+,ApJS, 191, 352, 2010	-1.86	
SAGA_Scl_000343	E.N.Kirby+,ApJ, 705, 328, 2009	-1.35	
SAGA_Scl_000343	E.N.Kirby+,ApJ, 801, 125, 2015	-1.45	-0.15
SAGA_Scl_000343	E.N.Kirby+,ApJS, 191, 352, 2010	-1.24	
SAGA_Scl_000343	G.E.Duggan+,ApJ, 869, 50, 2018	-1.42	
SAGA_Scl_000345	E.N.Kirby+,ApJ, 705, 328, 2009	-1.71	
SAGA_Scl_000345	E.N.Kirby+,ApJ, 801, 125, 2015	-1.74	-0.64
SAGA_Scl_000345	E.N.Kirby+,ApJS, 191, 352, 2010	-1.58	
SAGA_Scl_000345	G.E.Duggan+,ApJ, 869, 50, 2018	-1.72	
SAGA_Scl_000346	E.N.Kirby+,ApJ, 705, 328, 2009	-1.17	
SAGA_Scl_000346	E.N.Kirby+,ApJ, 801, 125, 2015	-1.26	-0.94
SAGA_Scl_000346	E.N.Kirby+,ApJS, 191, 352, 2010	-1.12	
SAGA_Scl_000347	E.N.Kirby+,ApJ, 705, 328, 2009	-1.48	
SAGA_Scl_000347	E.N.Kirby+,ApJ, 801, 125, 2015	-1.63	-0.76
SAGA_Scl_000347	E.N.Kirby+,ApJS, 191, 352, 2010	-1.44	
SAGA_Scl_000347	G.E.Duggan+,ApJ, 869, 50, 2018	-1.62	
SAGA_Scl_000350	E.N.Kirby+,ApJ, 705, 328, 2009	-1.66	
SAGA_Scl_000350	E.N.Kirby+,ApJ, 801, 125, 2015	-1.79	-0.03
SAGA_Scl_000350	E.N.Kirby+,ApJS, 191, 352, 2010	-1.59	
SAGA_Scl_000351	E.N.Kirby+,ApJ, 705, 328, 2009	-1.65	
SAGA_Scl_000351	E.N.Kirby+,ApJ, 801, 125, 2015	-1.76	-0.43
SAGA_Scl_000351	E.N.Kirby+,ApJS, 191, 352, 2010	-1.57	
SAGA_Scl_000353	E.N.Kirby+,ApJ, 705, 328, 2009	-1.74	
SAGA_Scl_000353	E.N.Kirby+,ApJ, 801, 125, 2015	-1.86	-0.65
SAGA_Scl_000353	E.N.Kirby+,ApJS, 191, 352, 2010	-1.72	
SAGA_Scl_000353	G.E.Duggan+,ApJ, 869, 50, 2018	-1.85	
SAGA_Scl_000354	E.N.Kirby+,ApJ, 705, 328, 2009	-1.57	
SAGA_Scl_000354	E.N.Kirby+,ApJ, 801, 125, 2015	-1.79	-0.16
SAGA_Scl_000354	E.N.Kirby+,ApJS, 191, 352, 2010	-1.59	
SAGA_Scl_000354	G.E.Duggan+,ApJ, 869, 50, 2018	-1.78	
SAGA_Scl_000355	E.N.Kirby+,ApJ, 705, 328, 2009	-1.18	
SAGA_Scl_000355	E.N.Kirby+,ApJ, 801, 125, 2015	-1.22	-0.88
SAGA_Scl_000355	E.N.Kirby+,ApJS, 191, 352, 2010	-1	
SAGA_Scl_000355	G.E.Duggan+,ApJ, 869, 50, 2018	-1.2	
SAGA_Scl_000356	E.N.Kirby+,ApJ, 705, 328, 2009	-1.49	
SAGA_Scl_000356	E.N.Kirby+,ApJ, 801, 125, 2015	-1.81	-0.9
SAGA_Scl_000356	E.N.Kirby+,ApJS, 191, 352, 2010	-1.45	
SAGA_Scl_000356	G.E.Duggan+,ApJ, 869, 50, 2018	-1.8	
SAGA_Scl_000358	E.N.Kirby+,ApJ, 705, 328, 2009	-1.86	
SAGA_Scl_000358	E.N.Kirby+,ApJ, 801, 125, 2015	-2.1	-0.05
SAGA_Scl_000358	E.N.Kirby+,ApJS, 191, 352, 2010	-1.87	
SAGA_Scl_000359	E.N.Kirby+,ApJ, 705, 328, 2009	-2.03	
SAGA_Scl_000359	E.N.Kirby+,ApJ, 801, 125, 2015	-2.18	-0.39
SAGA_Scl_000359	E.N.Kirby+,ApJS, 191, 352, 2010	-2.04	
SAGA_Scl_000359	G.E.Duggan+,ApJ, 869, 50, 2018	-2.17	
SAGA_Scl_000360	E.N.Kirby+,ApJ, 705, 328, 2009	-1.57	
SAGA_Scl_000360	E.N.Kirby+,ApJ, 801, 125, 2015	-1.65	-0.04
SAGA_Scl_000360	E.N.Kirby+,ApJS, 191, 352, 2010	-1.42	
SAGA_Scl_000361	E.N.Kirby+,ApJ, 705, 328, 2009	-1.3	
SAGA_Scl_000361	E.N.Kirby+,ApJ, 801, 125, 2015	-1.33	-1.07
SAGA_Scl_000361	E.N.Kirby+,ApJS, 191, 352, 2010	-1.22	
SAGA_Scl_000361	G.E.Duggan+,ApJ, 869, 50, 2018	-1.33	
SAGA_Scl_000362	E.N.Kirby+,ApJ, 705, 328, 2009	-1.27	
SAGA_Scl_000362	E.N.Kirby+,ApJ, 801, 125, 2015	-1.43	-0.77
SAGA_Scl_000362	E.N.Kirby+,ApJS, 191, 352, 2010	-1.2	
SAGA_Scl_000362	G.E.Duggan+,ApJ, 869, 50, 2018	-1.41	
SAGA_Scl_000363	E.N.Kirby+,ApJ, 705, 328, 2009	-1.61	
SAGA_Scl_000363	E.N.Kirby+,ApJ, 801, 125, 2015	-1.73	-0.62
SAGA_Scl_000363	E.N.Kirby+,ApJS, 191, 352, 2010	-1.57	
SAGA_Scl_000363	G.E.Duggan+,ApJ, 869, 50, 2018	-1.71	
SAGA_Scl_000366	E.N.Kirby+,ApJ, 705, 328, 2009	-2.64	
