# Object,[Fe/H],[Mg/Fe]
SAGA_Dra_000132,-1.56,
SAGA_Dra_000132,-1.22,-0.17
SAGA_Dra_000132,-1.37,
SAGA_Dra_000141,-2.01,
SAGA_Dra_000141,-1.71,0.08
SAGA_Dra_000142,-2.15,
SAGA_Dra_000142,-1.87,
SAGA_Dra_000142,-1.83,0.09
SAGA_Dra_000146,-2.08,
SAGA_Dra_000146,-1.71,0.28
SAGA_Dra_000146,-1.9,
SAGA_Dra_000150,-2.48,
SAGA_Dra_000150,-2.16,0.33
SAGA_Dra_000158,-1.92,
SAGA_Dra_000158,-1.55,-0.19
SAGA_Dra_000158,-1.77,
SAGA_Dra_000160,-1.83,
SAGA_Dra_000160,-1.4,0.89
SAGA_Dra_000164,,
SAGA_Dra_000164,-2.27,
SAGA_Dra_000164,-2,0.13
SAGA_Dra_000164,-2.19,
SAGA_Dra_000166,-2.06,
SAGA_Dra_000166,-1.75,0.41
SAGA_Dra_000168,-1.28,0.9
SAGA_Dra_000169,-2.03,
SAGA_Dra_000169,-1.9,
SAGA_Dra_000169,-1.72,-0.15
SAGA_Dra_000169,-1.87,
SAGA_Dra_000175,-2.54,
SAGA_Dra_000175,-2.22,0.9
SAGA_Dra_000175,-2.35,
SAGA_Dra_000183,-2.01,
SAGA_Dra_000183,-1.68,-0.37
SAGA_Dra_000183,-1.87,
SAGA_Dra_000188,-1.81,0.55
SAGA_Dra_000193,-1.54,-0.26
SAGA_Dra_000194,-1.96,
SAGA_Dra_000194,-1.63,0.81
SAGA_Dra_000195,-1.3,0.99
SAGA_Dra_000201,-1.61,0.53
SAGA_Dra_000208,-1.6,-0.17
SAGA_Dra_000211,-2.39,
SAGA_Dra_000211,-2.08,0.22
SAGA_Dra_000211,-2.28,
SAGA_Dra_000225,-1.93,0.66
SAGA_Dra_000227,-1.84,
SAGA_Dra_000227,-1.47,-0.32
SAGA_Dra_000227,-1.6,
SAGA_Dra_000228,-1.66,
SAGA_Dra_000228,-1.45,-0.32
SAGA_Dra_000228,-1.64,
SAGA_Dra_000230,,
SAGA_Dra_000230,-2.48,
SAGA_Dra_000230,-2.2,0.21
SAGA_Dra_000230,-2.46,
SAGA_Dra_000233,-2.09,
SAGA_Dra_000233,-1.77,0.16
SAGA_Dra_000233,-1.96,
SAGA_Dra_000234,,
SAGA_Dra_000234,-2.01,
SAGA_Dra_000234,-1.76,-0.69
SAGA_Dra_000234,-1.94,
SAGA_Dra_000238,-1.7,
SAGA_Dra_000238,-1.4,0.14
SAGA_Dra_000240,-1.64,0.05
SAGA_Dra_000241,-1.98,
SAGA_Dra_000241,-1.66,0.49
SAGA_Dra_000246,-1.25,0.34
SAGA_Dra_000248,-1.95,-0.03
SAGA_Dra_000248,-2.08,
SAGA_Dra_000251,-1.58,0.09
SAGA_Dra_000260,-1.39,0.56
SAGA_Dra_000261,-1.63,
SAGA_Dra_000261,-1.35,0.72
SAGA_Dra_000262,-2.45,
SAGA_Dra_000262,-2.14,0.73
SAGA_Dra_000262,-2.15,
SAGA_Dra_000273,-1.85,0.54
SAGA_Dra_000281,-1.76,
SAGA_Dra_000281,-1.45,0.11
SAGA_Dra_000281,-1.64,
SAGA_Dra_000288,-2.07,0.48
SAGA_Dra_000295,-1.89,0.5
SAGA_Dra_000300,-1.56,0.3
SAGA_Dra_000302,-0.72,0.66
SAGA_For_000001,-1.21,0
SAGA_For_000001,-0.92,-0.13
SAGA_For_000001,-0.89,-0.3
SAGA_For_000002,-1.6,0.07
SAGA_For_000003,-0.67,0.18
SAGA_For_000003,-0.62,
SAGA_For_000003,-0.73,-0.02
SAGA_For_000003,-0.35,-0.43
SAGA_For_000003,-0.62,
SAGA_For_000011,-1.18,
SAGA_For_000011,-1.19,
SAGA_For_000011,-1.07,-0.49
SAGA_For_000015,-0.8,
SAGA_For_000015,-1.06,
SAGA_For_000015,-0.79,-0.58
SAGA_For_000015,-1.06,
SAGA_For_000017,-0.5,
SAGA_For_000017,-0.72,
SAGA_For_000017,-0.71,-0.18
SAGA_For_000021,-1.01,
SAGA_For_000021,-1,
SAGA_For_000021,-1.12,0.22
SAGA_For_000021,-0.93,
SAGA_For_000021,-0.94,0
SAGA_For_000023,-0.99,
SAGA_For_000023,-0.9,
SAGA_For_000023,-1.06,-0.2
SAGA_For_000023,-1.13,
SAGA_For_000024,-0.6,
SAGA_For_000024,-0.63,
SAGA_For_000024,-0.74,-0.15
SAGA_For_000024,-0.31,
SAGA_For_000025,-0.7,
SAGA_For_000025,-1.01,
SAGA_For_000025,-0.91,
SAGA_For_000025,-0.97,-0.04
SAGA_For_000025,-0.89,
