# Object,[Fe/H],[Ti/Fe]
SAGA_For_000437,,
SAGA_For_000437,-0.48,
SAGA_For_000437,-0.68,-0.31
SAGA_For_000440,-0.88,
SAGA_For_000440,-0.91,-0.33
SAGA_For_000440,-0.89,
SAGA_For_000442,-0.58,
SAGA_For_000442,-0.82,-0.46
SAGA_For_000451,,
SAGA_For_000451,-0.56,
SAGA_For_000451,-0.82,-0.08
SAGA_For_000452,-0.87,
SAGA_For_000452,-0.7,-0.56
SAGA_For_000453,-0.76,
SAGA_For_000453,-0.86,-0.14
SAGA_For_000453,-0.41,
SAGA_For_000461,-0.28,
SAGA_For_000461,-0.59,-0.48
SAGA_For_000468,-0.78,
SAGA_For_000468,-0.76,-0.43
SAGA_For_000469,-0.86,
SAGA_For_000469,-0.89,-0.31
SAGA_For_000469,-0.91,
SAGA_For_000471,,
SAGA_For_000471,-0.8,
SAGA_For_000471,-0.97,-0.19
SAGA_For_000472,-0.51,
SAGA_For_000472,-0.57,-0.57
SAGA_For_000474,-1,0.08
SAGA_For_000474,-0.93,
SAGA_For_000475,-0.99,
SAGA_For_000475,-0.97,-0.12
SAGA_For_000475,-1.03,
SAGA_For_000478,-0.86,
SAGA_For_000478,-0.87,-0.16
SAGA_For_000478,-1.02,
SAGA_For_000481,-0.69,
SAGA_For_000481,-0.78,0.08
SAGA_For_000481,-0.47,
SAGA_For_000483,-0.92,
SAGA_For_000483,-0.86,-0.53
SAGA_For_000489,-1.44,
SAGA_For_000489,-1.43,-0.11
SAGA_For_000489,-1.71,
SAGA_For_000577,-1.03,-0.06
SAGA_For_000577,-0.64,
SAGA_For_000588,-1.34,0.37
SAGA_For_000588,-1.29,
SAGA_For_000591,-1.1,-0.11
SAGA_For_000591,-0.99,
SAGA_For_000595,-1.07,0.17
SAGA_For_000595,-0.88,
SAGA_For_000602,-0.97,-0.1
SAGA_For_000602,-1.17,
SAGA_For_000610,-0.94,-0.03
SAGA_For_000610,-0.88,
SAGA_For_000616,-0.99,0.76
SAGA_For_000616,-0.97,
SAGA_For_000620,-1.41,-0.04
SAGA_For_000620,-1.27,
SAGA_For_000624,-1.24,0.09
SAGA_For_000624,-0.94,
SAGA_For_000630,-1.44,-0.17
SAGA_For_000630,-0.78,
SAGA_For_000631,-1.41,0.15
SAGA_For_000631,-1.42,
SAGA_For_000636,-1.07,0.12
SAGA_For_000636,-0.89,
SAGA_For_000643,-1.25,0.45
