# Object,[Fe/H],[Na/Fe]
SAGA_Scl_000003,-1.77,
SAGA_Scl_000003,-1.75,
SAGA_Scl_000003,-1.77,
SAGA_Scl_000003,-1.76,
SAGA_Scl_000004,-1.77,-0.5
SAGA_Scl_000004,-1.77,
SAGA_Scl_000004,-1.8,
SAGA_Scl_000004,-1.78,
SAGA_Scl_000004,-1.8,
SAGA_Scl_000004,-1.68,
SAGA_Scl_000005,-1.24,-0.46
SAGA_Scl_000005,-1.22,
SAGA_Scl_000005,-1.35,
SAGA_Scl_000005,-1.33,
SAGA_Scl_000005,-1.35,
SAGA_Scl_000005,-1.07,
SAGA_Scl_000006,-2.1,-0.43
SAGA_Scl_000006,-2.03,
SAGA_Scl_000006,-2.18,
SAGA_Scl_000006,-2.17,
SAGA_Scl_000006,-2.16,
SAGA_Scl_000006,-2.18,
SAGA_Scl_000006,-2,
SAGA_Scl_000006,-2.15,
SAGA_Scl_000007,-0.97,-0.15
SAGA_Scl_000007,-0.82,
SAGA_Scl_000007,-0.79,
SAGA_Scl_000008,-1.72,-0.52
SAGA_Scl_000008,-1.6,
SAGA_Scl_000008,-1.68,
SAGA_Scl_000008,-1.66,
SAGA_Scl_000008,-1.68,
SAGA_Scl_000008,-1.46,
SAGA_Scl_000009,-1.2,-0.46
SAGA_Scl_000009,-1.2,
SAGA_Scl_000009,-0.92,
SAGA_Scl_000009,-0.9,
SAGA_Scl_000009,-0.92,
SAGA_Scl_000009,-0.96,
SAGA_Scl_000026,-1.89,
SAGA_Scl_000026,-2.03,
SAGA_Scl_000026,-2.03,-0.4
SAGA_Scl_000058,-2.44,-0.5
SAGA_Scl_000058,-2.1,
SAGA_Scl_000058,-2.83,
SAGA_Scl_000298,-3.78,
SAGA_Scl_000298,-3.68,0.1
SAGA_Scl_000298,-3.63,
SAGA_Scl_000298,-3.7,
SAGA_Scl_000434,-3.48,-0.15
SAGA_Scl_000434,-3.31,-0.2
SAGA_Scl_000435,-3.96,0.02
SAGA_Scl_000435,,-0.03
SAGA_Scl_000435,-3.87,
SAGA_Scl_000442,-2.38,-0.69
SAGA_Scl_000443,-3.15,
SAGA_Scl_000443,-3,0.66
SAGA_Scl_000444,-3.31,-0.09
SAGA_Scl_000444,-3,-0.06
SAGA_Scl_000445,-3.88,-0.23
SAGA_Scl_000445,-3.47,-0.57
SAGA_Scl_000446,-2.46,-0.38
SAGA_Scl_000447,-2.91,0.32
SAGA_Scl_000448,-3.45,-0.11
SAGA_Scl_000448,-3.35,-0.24
SAGA_Scl_000449,-3.17,0.38
SAGA_Scl_000450,-3.22,0.49
SAGA_Scl_000450,-3,
SAGA_Scl_000450,-2.81,
SAGA_Scl_000451,-3.77,-0.04
SAGA_Scl_000451,-3.99,
SAGA_Scl_000452,-3.52,0.08
SAGA_Scl_000452,-3.91,
SAGA_UMi_000001,-1.61,
SAGA_UMi_000001,-1.68,0.24
SAGA_UMi_000001,-1.67,-0.18
SAGA_UMi_000001,-1.47,
SAGA_UMi_000001,-1.6,
SAGA_UMi_000004,-2.1,
SAGA_UMi_000004,-2.01,-0.28
SAGA_UMi_000004,-1.95,
SAGA_UMi_000004,-1.68,
SAGA_UMi_000006,-1.47,
SAGA_UMi_000006,-1.45,
SAGA_UMi_000006,-1.51,-1.02
SAGA_UMi_000006,-1.34,
SAGA_UMi_000006,-1.55,
SAGA_UMi_000007,-2.65,-0.16
SAGA_UMi_000008,-2.47,-0.16
SAGA_UMi_000025,-2.48,-0.03
SAGA_UMi_000034,-3.13,-0.1
SAGA_UMi_000038,-3.14,-0.15
SAGA_UMi_000038,-3.45,
SAGA_UMi_000082,-1.6,-0.59
SAGA_UMi_000098,-1.4,-1.14
SAGA_UMi_000136,-3.15,-0.29
SAGA_UMi_000151,-2.2,-0.24
SAGA_UMi_000220,-2.12,
SAGA_UMi_000220,-1.81,-0.51
SAGA_UMi_000220,-1.92,
SAGA_UMi_000220,-2.09,
SAGA_UMi_000221,-2.13,-0.27
SAGA_UMi_000222,-1.96,-0.31
